epoch,loss,weight_stage1_L1_loss,weight_stage1_L2_loss,weight_stage2_L1_loss,weight_stage2_L2_loss,weight_stage3_L1_loss,weight_stage3_L2_loss,weight_stage4_L1_loss,weight_stage4_L2_loss,weight_stage5_L1_loss,weight_stage5_L2_loss,weight_stage6_L1_loss,weight_stage6_L2_loss
0,3.30349445772171,2.536511785740325e-06,0.20177589755981612,6.0837935414076866e-06,0.053897685900908356,9.855088694044347e-06,0.053932074104554806,7.838507941662621e-06,0.05377030526645947,5.3913603738793395e-06,0.05380713348643758,1.2009714863046906e-05,0.054071455431001246
1,2.8235497039953867,2.066957469485522e-06,0.002923795530193938,6.736854922759838e-06,4.3248124240561276e-05,1.0484549719549224e-05,3.623595501594207e-05,8.142605007278628e-06,5.512092433210162e-05,5.6474039057273154e-06,5.408797175225257e-05,1.1788127054883197e-05,1.2684218906024125e-05
2,2.808855555534363,2.1339302006341082e-06,7.2925556774873e-05,6.634270450637803e-06,3.043309243330435e-05,9.776817404891225e-06,2.7587621336256695e-05,7.928380720326792e-06,3.4608393639402376e-05,5.467575457895261e-06,3.5493729763806195e-05,1.0725779594530509e-05,1.109398155014718e-05
3,2.797020931482315,1.9257243432958397e-06,2.0572230409610833e-05,5.324187670361154e-06,1.9382140520828834e-05,7.69598425790156e-06,1.8872900100502872e-05,6.3963785763994545e-06,2.0874504864589158e-05,4.3560664811242245e-06,2.175327388544527e-05,8.401015389654801e-06,8.251481173555804e-06
4,2.7853028542995455,1.483977943412651e-06,1.4506658694907563e-05,3.8015402919823334e-06,1.1479416586673914e-05,5.430588578830738e-06,1.1848309839756932e-05,4.631667297371254e-06,1.2238329806570728e-05,3.128497045417932e-06,1.3034665582675631e-05,5.854575380413276e-06,5.398330102707498e-06
